srno|code|name|flag|Module_Name
590|EXTSCRP|Card Status Report|0|Smart Card
591|EXTSMS|SMS|0|SMS
592|SMSSETUP|Sstup|1|SMS
593|EXTSMSSETUP|SMS (API)|1|SMS
594|SMSOPR|Operations|0|SMS
595|EXTSMSOPR|SMS (Scheduled)|1|SMS
596|EXTSMSOPR|SMS (Conditional)|0|SMS
597|EXTDTR|Data Transfer|0|Data Transfer
598|DTRO|Transfer (Offline)|1|Data Transfer
599|DTRON|Transfer (Online)|0|Data Transfer
600|RW|Reward Points|0|Reward Points
601|RWP|Guest Registration|1|Reward Points
602|RWP|Reward Points Parameter I|0|Reward Points
603|RWREP|Reports|1|Reward Points
604|EXTRWREP|Registered Guest Detail|1|Reward Points
606|dsale|Restaurant Change|1|Restaurant Change
608|mnuWindowCascad|Cascade|1|Cascade
609|mnuWindowTileHo|Tile Horizontal|1|Tile Horizontal
610|mnuWindowTileVe|Tile Vertical|0|Tile Vertical
614|PP|....|1|
615|PP|....|1|
617|smnuMdI|Manage MDI|1|Manage MDI
