VB6 <-> PYTHON PARITY MATRIX
==============================================================================
Generated: _qa/gen_parity_matrix.py (skill: vb6-python-parity)
VB6: *.frm captions + inline-SQL table evidence | Py: shell registry + core/ui scan | DB: live-table probe

STATUS SUMMARY
------------------------------------------------------------------------------
  DONE         158
  PARTIAL      145
  UI-ONLY      0
  BLOCKED-TBL  2
  MISSING      13
  TOTAL        318


==============================================================================
## PARTIAL
==============================================================================

| VB6 form            | Caption                    | Python UI | Core | Wired | Tables (live) |
| frmUnitMast         | Unit Master                | YES       | Y    | Y     | UnitMast                               |
| FrmVenueMast        | Venue Master               | YES       | Y    | Y     | FEATUREMAST, FeatureMast, GodownMast,  |
| FrmWaiterMast       | Server Master              | YES       | Y    | Y     | Depart, Waiter                         |
| frmYearEnd          | Year End Updation          | YES       | Y    | Y     | Company, UserPermission, Voucher_Prefi |
| Godown              | Location Master            | YES       | Y    | Y     | GODOWNMAST, GodownMast, Godownmast     |
| GroupProfile        | Group Profile              | YES       | Y    | Y     | BussSource, CITY, City, GROUPPROF, Gro |
| GuestProfile        | Guest Profile              | YES       | Y    | Y     | Booking, CITY, COUNTRY, City, Country  |
| HallBooking         | Banquet Booking            | YES       | Y    | Y     | Booking, BookingDetail, BookingInquiry |
| HallChefPreCosting  | Chef Pre-Costing           | YES       | Y    | Y     | CATALOGMAST, Depart, FunctionType, Fun |
| HallSundry          | Outlet Bill Sundry Setting | YES       | Y    | Y     | RevMast, SundryMast, SundryType, Sundr |
| HHouseKeeping       | House Keeping Screen       | YES       | Y    | Y     | RoomBlockOut, RoomMast, RoomOcc, roomm |
| HKRoomBlock         | Room Block                 | YES       | Y    | Y     | BlockMast, Booking, FAEnviro, GuestFol |
| HRoomCheckOutClearance | Check Out Clearance Screen | YES       | Y    | Y     | PayCharge, RoomBlockOut, RoomCheckOutS |
| Inbox               | Inbox                      | YES       | Y    | Y     | Messaging                              |
| MemAssistant        | Member Assistant           | YES       | Y    | Y     | AcGroup, CATEGORY, City, Country, Ledg |
| MemAutoSettleCardBalance | Auto Settle Card Balance   | YES       | Y    | Y     | Depart, MemCatMast, SmartCardRegistrat |
| MemBillPrintingModule | Member Bill Printing       | YES       | Y    | Y     | MemBill, MemEnviro, Should             |
| MemFacilityBilling  | Member Facility Billing    | YES       | Y    | Y     | Depart, Ledger, MEMCATMAST, MemAgeRevW |
| memFacilityMast     | Facility Master            | YES       | Y    | Y     | MemFacilityMast, RevMast, SubGroup, Ta |
| MemPaymentReceive   | Payment Receive Entry      | YES       | Y    | Y     | LEDGERM, LEDGERTDS, Ledger, PrinterSet |
| MemVisitEntry       | Member Visit Entry         | YES       | Y    | Y     | MemEnviro, MemVisitEntry, MemberFamily |
| NewHappyHours       | Happy Hours [ Free Items ] | YES       | Y    | Y     | Depart, FreeItemDetail, ItemGrp, ItemM |
| Outbox              | Intelligent Outbox         | YES       | Y    | Y     | Messaging, USERMAST                    |
| OutLetSundry        | Outlet Bill Sundry Setting | YES       | Y    | Y     | Depart, Enviro, RevMast, SundryMast, S |
| pHappyHours         | Happy Hours                | YES       | Y    | Y     | Depart, HappyHours, HappyHoursHead, It |
| PIndent             | Indent                     | YES       | Y    | Y     | Depart, GodownMast, INDENT, Indent, In |
| POSAdvanceDepDialog | Order Booking Advance      | YES       | Y    | Y     | Employee, Enviro, GuestProf, HallBook, |
| pPOrder             | Purchase Order             | YES       | Y    | Y     | City, DateLock, Enviro, Indent, Indent |
| prAttend            | Leave                      | YES       | Y    | Y     | Attend, Attendence, Depart, Desig, Emp |
| PrCategoryMast      | Category Master            | YES       | Y    | Y     | EmpCategory                            |
| PrDesigMast         | Designation Master         | YES       | Y    | Y     | Desig                                  |
| PrEmployee          | Employee Master            | YES       | Y    | Y     | Attend, Attendence, DESIG, Depart, Des |
| prHoliday           | HoliDay Master             | YES       | Y    | Y     | Attendence, Holiday, attendence, salar |
| PrLeavench          | Leave Encashment           | YES       | Y    | Y     | Depart, Desig, EMPLOYEE, Employee, LEA |
| prOverTime          | Over Time                  | YES       | Y    | Y     | Depart, Desig, Employee, OVERTIME, Ove |
| prSalCreate         | Salary Creation            | YES       | Y    | Y     | Attend, Depart, Desig, EmpCategory, Em |
| repTouchDate        | Select Report Date         | YES       | -    | Y     |                                        |
| resBanq             | Reservation Look Up Room W | YES       | Y    | Y     | Booking, FAEnviro, GuestFolio, GuestPr |
| resRoomNo           | Reservation Look Up Room W | YES       | Y    | Y     | Booking, FAEnviro, GuestFolio, GuestPr |
| rRepHouse           | ReprtForm                  | YES       | Y    | Y     | ComplaintCategory, Depart, ItemMast, R |
| rRepHousePreview    | ReprtForm                  | YES       | Y    | Y     | ComplaintCategory, Depart, FAEnviro, I |
| rRepPayRoll         | ReprtForm                  | YES       | Y    | Y     | Desig, EMPCategory, EmpCategory, Emplo |
| rRepReserv          | ReprtForm                  | YES       | Y    | Y     | Booking, BussSource, City, Country, EA |
| rRepTel             | ReprtForm                  | YES       | Y    | Y     | EPABX_Data, TelExt                     |
| rRepTelPreview      | ReprtForm                  | YES       | Y    | Y     | EPABX_DATA, FAEnviro, TelExt           |
| RrRoomReservation   | Reservation/Cancellation   | YES       | Y    | Y     | Booking, BookingCancelDetails, Booking |
| RsGravyItemEntry    | Gravy Item Entry           | YES       | Y    | Y     | Depart, Item, ItemCatMast, ItemGrp, It |
| RsKitchenStk        | Stock Transfer             | YES       | Y    | Y     | Depart, Enviro, GodownMast, ITEMRATE,  |
| RsKOTTransfer       | KOT Transfer               | YES       | Y    | Y     | Depart, GuestProf, KOT, Kot, ROOMOCC ( |
| RsPOSCustInfo       | Customer Information       | YES       | Y    | Y     | City, GuestProf, enviro                |
| RsPOSDisplay        | Display Table              | YES       | Y    | Y     | Depart, DispColor, Dispcolor, Enviro,  |
| RSSaleBill          | Sale Bill Entry            | YES       | Y    | Y     | CashRegData, City, DEPART, Depart, Dep |
| RSSaleBill1         | Sale Bill Entry            | YES       | Y    | Y     | DEPART, Depart, Enviro, ITEMMAST, Item |
| RsSaleBillSplit     | Split Sale Bill            | YES       | Y    | Y     | CashRegData, DEPART, Depart, Enviro, I |
| RsStoreRecEntry     | Finish Material Receive En | YES       | Y    | Y     | Depart, Enviro, GodownMast, ITEMRATE,  |
| RsTableMast         | Table Master               | YES       | Y    | Y     | DEPART, Depart, RoomMast, roommast     |
| RsTokenEntry        | Token Entry                | YES       | Y    | Y     | Depart, ENVIRO, Enviro, FreeItemDetail |
| RsTouchDisplayTB    | Display Table              | YES       | Y    | Y     | Depart, DispColor, Dispcolor, Enviro,  |
| RsTouchOrderPersonDetails | Customer Information       | YES       | -    | Y     |                                        |
| rsTouchScreenAdvanceDepDialog | Settlement Entry           | YES       | Y    | Y     | DepartPay, Employee, Enviro, GuestFoli |
| RsTouchScreenFAFind | Frame1                     | YES       | -    | Y     |                                        |
| RsTouchScreenKeyBoard | Touch Screen KeyBoard      | YES       | -    | Y     |                                        |
| RsTouchScreenKOTEntry | KOT Entry                  | YES       | Y    | Y     | Depart, ENVIRO, Enviro, GuestProf, Ite |
| RSTouchScreenSaleBill | Sale Bill Entry            | YES       | Y    | Y     | BillData, Cash, CashRegData, DEPART, D |
| RsTouchScreenTOKENEntry | KOT Entry                  | YES       | Y    | Y     | Depart, ENVIRO, Enviro, GuestProf, Ite |
| salmarCompProfile   | Company Profile            | YES       | Y    | Y     | CompanyProfile                         |
| SchemeMast          | Scheme Master              | YES       | Y    | Y     | SchemeItemDetail, SchemeMast, SchemeOu |
| SundryMast          | Sundry Master              | YES       | Y    | Y     | SundryMast, Sundrymast                 |
| SundryVType         | Voucher Wise Sundry Entry  | YES       | Y    | Y     | Depart, SundryMast, SundryType, ViewSu |
| TelCallControlMast  | Call Control Master        | YES       | Y    | Y     | TelCallControl, TelCallType, Time      |
| TelExtensionMast    | Extension Master           | YES       | Y    | Y     | Depart, RoomMast, TelExt               |
| UserMast            | User Master                | YES       | Y    | Y     | USERMAST, USER_MODULE, USER_module, Us |


==============================================================================
## MISSING
==============================================================================

| VB6 form            | Caption                    | Python UI | Core | Wired | Tables (live) |
|---------------------|----------------------------|-----------|------|-------|----------------------------------------|
| FAFind              | Help.?                     | no        | -    | -     |                                        |
| FrmChangeSite       | Login Site                 | no        | -    | -     |                                        |
| FrmControlPanel     | Control Panel              | no        | -    | -     |                                        |
| FrmImage            | Image                      | no        | -    | -     |                                        |
| frmMessage          | User Information           | no        | -    | -     |                                        |
| FrmMsgBox           | Message Box                | no        | -    | -     |                                        |
| FrmNAMessageA       | User Information           | no        | -    | -     |                                        |
| FrmNAMessageB       | User Information           | no        | -    | -     |                                        |
| FrmNAMessageC       | User Information           | no        | -    | -     |                                        |
| FrmVenueFeat        | VenueFeature               | no        | -    | -     | FeatureMast                            |
| LockForm            | Form1                      | no        | -    | -     |                                        |
| REPVIEW             | Form1                      | no        | -    | -     |                                        |
| RewardPointParam1   | Reward Points Parameter I  | no        | -    | -     | RWParameter                            |

==============================================================================
## ACTION QUEUE (MISSING + PARTIAL, portable)
==============================================================================

- fdNDAcPostChrg (fdNDAcPostChrg.frm): 'Posting Utility'
    tables: Enviro, ItemMast, PayCharge, Stock, mCurStk (+2)
    ui=N core=Y
- fdPrintScreen (fdPrintScreen.frm): 'Guest Charges Summary'
    tables: GUESTSTAT, GuestFolio, GuestProf, RevMast, RoomCat (+2)
    ui=N core=Y
- FindMess (FindMess.frm): '(blank)'
    tables: GuestMessage
    ui=N core=Y
- FrmBdayLookup (FrmBdayLookup.frm): 'Form1'
    tables: GuestProf
    ui=N core=Y
- FrmBusinessSrc (FrmBusinessSrc.frm): 'Business Source Master'
    tables: BussSource
    ui=N core=Y
- FrmChangeDepart (FrmChangeDepart.frm): 'Department Change Master'
    tables: Depart
    ui=N core=Y
- FrmChangeKitch (FrmChangeKitch.frm): 'Kitchen Change Master'
    tables: Depart
    ui=N core=Y
- FrmChangeRest (FrmChangeRest.frm): 'Restaurant Change Master'
    tables: Depart
    ui=N core=Y
- frmComboMast (frmComboMast.frm): 'Combo Item Master'
    tables: ComboPackDetail, Depart, Item, ItemCatMast, ItemGrp (+8)
    ui=N core=Y
- frmCompany (frmCompany.frm): 'User Information'
    tables: Booking, BussSource, COMPANY, Company, Depart (+50)
    ui=N core=Y
- FrmComplaintMast (FrmComplaintMast.frm): 'Complain Master'
    tables: ComplaintCategory, ComplaintDetail, Depart
    ui=N core=Y
- FrmConsumMast9999 (FrmConsumMast9999.frm): 'Open Item Consumption Master'
    tables: BOM, Depart, ItemMast
    ui=N core=Y
- FrmDeliveredItemDetail (FrmDeliveredItemDetail.frm): 'Not Delivered Item'
    tables: AssignDelivery, DeliveryBoy, Depart, PayCharge, Sale1
    ui=N core=Y
- FrmDeliveryBoyMast (FrmDeliveryBoyMast.frm): 'Delivery Boy Master'
    tables: DeliveryBoy
    ui=N core=Y
- FrmDenomination (FrmDenomination.frm): 'Denomination Detail'
    tables: DenominationDetail, DenominationFormat
    ui=N core=Y
- frmEnviro (frmEnviro.frm): 'Parameter Settings'
    tables: Acgroup, Enviro, Godownmast, ItemMast, MenuHelp (+5)
    ui=N core=Y
- FrmEventMast (FrmEventMast.frm): 'Event Type'
    tables: FunctionType
    ui=N core=Y
- FrmExpense (FrmExpense.frm): 'Misc.Payment / Received Entry'
    tables: ENVIRO, ExpSheet, REVMAST, SubGroup, Voucher_Prefix (+2)
    ui=N core=Y
- FrmFacilityMast (FrmFacilityMast.frm): 'Form1'
    tables: FacilityMast, SubGroup, Subgroup, TaxStru, Voucher_Prefix (+2)
    ui=N core=Y
- frmFdLeaderRev (frmFdLeaderRev.frm): 'Leader Revenue Allocation'
    tables: BussSource, GuestFolio, GuestProf, MarketSeg, PlanMast (+7)
    ui=N core=Y
- frmFixedChargeMast (frmFixedChargeMast.frm): 'Fixed Charge Master'
    tables: FixedCharge, PLAN1, RevMast, SubGroup, TaxStru (+1)
    ui=N core=Y
- frmFomB (frmFomB.frm): 'FOM Bill Reprint'
    tables: City, Depart, Enviro, FOMBillDetails, FomBillChangeDetails (+25)
    ui=N core=Y
- FrmFomBillDeletion (FrmFomBillDeletion.frm): 'Fom Bill Delection'
    tables: Depart, FomBillDetails, PayCharge, Paycharge, RevMast (+1)
    ui=N core=Y
- FrmForeignExMast (FrmForeignExMast.frm): 'Foreign Exchange Master'
    tables: ForEx
    ui=N core=Y
- FrmForExRec (FrmForExRec.frm): 'Forex Receive Entry'
    tables: ForEx, ForExTrans, Voucher_Prefix, Voucher_Type, enviro
    ui=N core=Y
- FrmGrcBlank (FrmGrcBlank.frm): 'Guest Registration  Card'
    tables: Booking, Enviro, Voucher_Prefix, Voucher_Type
    ui=N core=Y
- FrmGuestAddObj (FrmGuestAddObj.frm): 'Guest Address & Observation'
    tables: Member, Voucher_Prefix, Voucher_Type, Waiter
    ui=N core=Y
- frmGuestInfo (frmGuestInfo.frm): 'Guest Information'
    tables: GUESTPROF, GuestProf, LocationFacility, LocationMast, SmartCardRegistration
    ui=N core=Y
- frmGuestParamMast (frmGuestParamMast.frm): 'Guest Parameters Master'
    tables: GUESTPARAM, GuestParam
    ui=N core=Y
- FrmGuestStat (FrmGuestStat.frm): 'Guest Status Master'
    tables: GuestStat, gueststat
    ui=N core=Y
- FrmGuestWakeUp (FrmGuestWakeUp.frm): 'Register Wake up Calls'
    tables: City, EPABX_IN, GuestFolio, GuestStat, GuestWakeUp (+6)
    ui=N core=Y
- FrmHallItemCatMast (FrmHallItemCatMast.frm): 'Category and Charge Master'
    tables: ItemCatMast, PayCharge, RevMast, Revmast, TaxStru (+1)
    ui=N core=Y
- FrmHouGuestMsg (FrmHouGuestMsg.frm): 'In House Guest Message'
    tables: City, GuestFolio, GuestMessage, GuestStat, RoomCat (+5)
    ui=N core=Y
- FrmHouseStatus (FrmHouseStatus.frm): 'Property Status'
    tables: Depart, FunctionType, GuestFolio, HallBook, Kot (+12)
    ui=N core=Y
- FrmInc (FrmInc.frm): 'Inconsistency Check'
    tables: ACGROUP, Depart, ENVIRO, FAENVIRO, GodownMast (+29)
    ui=N core=Y
- FrmItemCatMast (FrmItemCatMast.frm): 'Category/Charge Master'
    tables: Depart, ItemCatMast, PayCharge, RevMast, Revmast (+3)
    ui=N core=Y
- FrmItemCatRaw (FrmItemCatRaw.frm): 'Category/Charge Master'
    tables: Depart, Enviro, ItemCatMast, PayCharge, RevMast (+2)
    ui=N core=Y
- FrmItemGroupMast (FrmItemGroupMast.frm): 'Item Group Entry'
    tables: Depart, ItemGrp, itemgrp
    ui=N core=Y
- FrmJobScheduler (FrmJobScheduler.frm): 'Task Scheduler'
    tables: JobSchedule
    ui=N core=Y
- FrmLostFound (FrmLostFound.frm): 'Lost && Found'
    tables: LostFoundDetail
    ui=N core=Y
- FrmMarketSeg (FrmMarketSeg.frm): 'Market Segment Master'
    tables: MarketSeg
    ui=N core=Y
- frmMenuItemCopy (frmMenuItemCopy.frm): 'Menu Item Copy'
    tables: BOM, Depart, Item, ItemCatMast, ItemGrp (+5)
    ui=N core=Y
- FrmMenuRate (FrmMenuRate.frm): 'Item Rate Entry'
    tables: Depart, ItemCatMast, ItemGrp, ItemMast, ItemRate (+2)
    ui=N core=Y
- FrmMergeCharge (FrmMergeCharge.frm): 'Room Merge'
    tables: GUESTSTAT, GuestFolio, GuestProf, Leader, PayCharge (+4)
    ui=N core=Y
- FrmMeterReading (FrmMeterReading.frm): 'Meter Reading'
    tables: FMReading, FMReading1, FacilityMast, LocationFacility, LocationMast (+1)
    ui=N core=Y
- FrmOPStock (FrmOPStock.frm): 'Opening Stock Entry'
    tables: Depart, GodownMast, ItemMast, Stock, Voucher_Prefix (+1)
    ui=N core=Y
- FrmPackageMast (FrmPackageMast.frm): 'Package Defination Master'
    tables: FixedCharge, Plan1, PlanMast, PlanTokenDetails, REVMAST (+5)
    ui=N core=Y
- FrmParty (FrmParty.frm): 'Suppler Master'
    tables: AcGroup, CATEGORY, City, Ledger, SUBGROUP (+5)
    ui=N core=Y
- FrmPayTypeMast (FrmPayTypeMast.frm): 'Payment Type Master'
    tables: CreditCardhistory, DepartPay, MenuHelp, REVMAST, SubGroup (+4)
    ui=N core=Y
- FrmPlanTokenMast (FrmPlanTokenMast.frm): 'Plan Token Master'
    tables: RevMast, TaxStru
    ui=N core=Y
- FrmPOSBillDeletion (FrmPOSBillDeletion.frm): 'POS Bill Deletion Entry'
    tables: AssignDelivery, Depart, GuestReward, Kot, PayCharge (+8)
    ui=N core=Y
- FrmPOSBillModificationDatewise (FrmPOSBillModificationDatewise.frm): 'POS Bill Deletion Entry'
    tables: Depart, Kot, PayCharge, Paycharge, RevMast (+5)
    ui=N core=Y
- FrmPOSBillModificationItemGroupwise (FrmPOSBillModificationItemGroupwise.frm): 'POS Bill Modification (Item Group Wise)'
    tables: Depart, Kot, PayCharge, Paycharge, RevMast (+5)
    ui=N core=Y
- FrmPOSRecycleData (FrmPOSRecycleData.frm): 'Recycle Outlet Data'
    tables: DEPART, Depart, KOT, POS_SBill, Paycharge (+9)
    ui=N core=Y
- FrmPOSSaleDataTransfer (FrmPOSSaleDataTransfer.frm): 'POS Bill Deletion Entry'
    tables: Depart, PayCharge, Sale1, Sale2, Stock (+2)
    ui=N core=Y
- frmPurEnviro (frmPurEnviro.frm): 'Purchase Parameter'
    tables: Enviro, Godownmast, RevMast, SubGroup
    ui=N core=Y
- FrmReceivePayment (FrmReceivePayment.frm): 'Misc.Payment / Received Entry'
    tables: Depart, ENVIRO, ExpSheet, PayCharge, Paycharge (+6)
    ui=N core=Y
- FrmRevenueWiseBudget (FrmRevenueWiseBudget.frm): 'Revenue Wise Budget'
    tables: BUDGETDETAILS, BudgetDetails, FixedCharge, RevMast
    ui=N core=Y
- frmRevGroup (frmRevGroup.frm): 'Revenue Group'
    tables: Revmast, revmast
    ui=N core=Y
- FrmRevMergeCharge (FrmRevMergeCharge.frm): 'Reverse Transfer Room'
    tables: GUESTSTAT, GuestFolio, GuestProf, PayCharge, RoomCat (+3)
    ui=N core=Y
- FrmRoomCatMast (FrmRoomCatMast.frm): 'Room Category Master'
    tables: RateList, RevMast, RoomCat, enviro, rateList (+1)
    ui=N core=Y
- FrmRoomFeatureMast (FrmRoomFeatureMast.frm): 'Room Features Master'
    tables: RoomFeature
    ui=N core=Y
- FrmRoomMast (FrmRoomMast.frm): 'Room  Master'
    tables: Depart, ROOMFEATURE, ROOMMAST1, RateList, RevMast (+8)
    ui=N core=Y
- FrmSMSEnviro (FrmSMSEnviro.frm): 'Parameter Setting'
    tables: Depart, EmailSMSForward, JobSchedule, JobScheduledDetail, SMSEnviro
    ui=N core=Y
- FrmSMSMultiType (FrmSMSMultiType.frm): 'Common SMS'
    tables: ACGROUP, City, DBSendSMS, Employee, GuestProf (+7)
    ui=N core=Y
- FrmTaxStruMast (FrmTaxStruMast.frm): 'Tax Structure Master'
    tables: RevMast, TaxStru, Taxstru
    ui=N core=Y
- FrmUnSettledBillsInfo (FrmUnSettledBillsInfo.frm): 'Unsettled Bill Details'
    tables: DEPART, Depart, PayCharge, RoomMast, VOUCHER_TYPE (+2)
    ui=N core=Y
- FrmUserPaymentCollection (FrmUserPaymentCollection.frm): 'User Payment Receive Entry'
    tables: ENVIRO, MenuHelp, REVMAST, UserCollection, UserMast (+3)
    ui=N core=Y
- frmWelcome (frmWelcome.frm): '<'
    tables: GuestProf
    ui=YES core=Y
- hAdvanceDepDialog (hAdvanceDepDialog.frm): 'Settlement'
    tables: CreditCardHistory, Depart, DepartPay, Employee, Enviro (+18)
    ui=N core=Y
- hAdvanceDepDialogSecondry (hAdvanceDepDialogSecondry.frm): 'Advance Deposite'
    tables: Employee, Enviro, GuestFolio, PAYCHARGEH, REVMAST (+8)
    ui=N core=Y
- HallAcPostChrg (HallAcPostChrg.frm): 'A/C Posting'
    tables: Enviro
    ui=N core=Y
- HallAdvanceDepDialog (HallAdvanceDepDialog.frm): 'Advance Recived'
    tables: CreditCardHistory, Depart, DepartPay, Employee, Enviro (+19)
    ui=N core=Y
- HallBill (HallBill.frm): 'Hall Bill Entry'
    tables: Booking, City, DEPART, Depart, Employee (+39)
    ui=N core=Y
- HallBillEstimate (HallBillEstimate.frm): 'Banquet Estimate Bill'
    tables: Booking, DEPART, Depart, Enviro, FAEnviro (+27)
    ui=N core=Y
- HallEstimate (HallEstimate.frm): 'Hall Estimate Entry'
    tables: Booking, DEPART, Depart, Enviro, FAEnviro (+24)
    ui=N core=Y
- HallItemGroupMast (HallItemGroupMast.frm): 'Item Group Entry'
    tables: ItemGrp
    ui=N core=Y
- HallMenuCatalog (HallMenuCatalog.frm): 'Menu Catalog'
    tables: CatalogMast, Depart, Enviro, GroupCatalog, ItemGrp (+1)
    ui=N core=Y
- HallMenuItemEntry (HallMenuItemEntry.frm): 'Menu Item Entry'
    tables: Depart, Item, ItemCatMast, ItemGrp, ItemMast (+6)
    ui=N core=Y
- HKHouseOpStk (HKHouseOpStk.frm): 'House Keeping Op. Stock Entry'
    tables: DEPART, Depart, ItemGrp, ItemMast, LASTVOU (+4)
    ui=N core=Y
- HKIssRec (HKIssRec.frm): 'Issue/Receive Entry'
    tables: Depart, GodownMast, ItemGrp, ItemMast, LASTVOU (+6)
    ui=N core=Y
- HKRoomOpStk (HKRoomOpStk.frm): 'Room Op.Stock Entry'
    tables: Depart, ItemGrp, ItemMast, LASTVOU, RoomMast (+6)
    ui=N core=Y
- HWIHistory (HWIHistory.frm): 'Walk In by Room History'
    tables: Booking, GuestFolio, GuestProf, PlanMast, RoomCat (+2)
    ui=N core=Y
- InHouseGuestFolio (InHouseGuestFolio.frm): 'Inhouse Guest Folio'
    tables: Booking, City, EPABX_IN, EmailSMSForward, Employee (+29)
    ui=N core=Y
- kClStk (kClStk.frm): 'Kitchen Closing Stock Entry'
    tables: DateLock, Depart, GODOWNMAST, GodownMast, ITEMMAST (+9)
    ui=N core=Y
- memAgeRevMast (memAgeRevMast.frm): 'Member Category Wise Revenue'
    tables: Age, MemAgeRevWise, MemCatMast, MembershipRevMast
    ui=N core=Y
- MemberEnviro (MemberEnviro.frm): 'Parameter Setting'
    tables: MemEnviro
    ui=N core=Y
- MemberProposedMemInf (MemberProposedMemInf.frm): 'Propsed Member Information'
    tables: MemCatMast, MemProposedMemInf, MemberFamily, SubGroup
    ui=N core=Y
- MembershipMast (MembershipMast.frm): 'Member Master'
    tables: AcGroup, AreaMast, CATEGORY, City, Country (+25)
    ui=N core=Y
- MemberShipRevenueMast (MemberShipRevenueMast.frm): 'MemberShip Revenue Master'
    tables: MembershipRevMast, SubGroup, TaxStru
    ui=N core=Y
- MemberSMS (MemberSMS.frm): 'Generate SMS.csv'
    tables: Enviro
    ui=N core=Y
- memCatChngCond (memCatChngCond.frm): 'Member Category Change (Conditional)'
    tables: Ledger, MemCatMast, SubGroup
    ui=N core=Y
- memCatChngEntry (memCatChngEntry.frm): 'Out-Station Member Entry'
    tables: MemBill, MemCatChngDetail, MemCatMast, MemCatRevWise, MemRevenueForPeriod (+2)
    ui=N core=Y
- memCategoryFacilities (memCategoryFacilities.frm): 'Category wise Facility'
    tables: MemCatFacility, MemCatMast, MemFacilityMast, memFacilityMast
    ui=N core=Y
- MemCatMast (MemCatMast.frm): 'Member Category Master'
    tables: MEmCatMast, MemCatMast, SubGroup
    ui=N core=Y
- memCatRevMast (memCatRevMast.frm): 'Member Category Wise Revenue'
    tables: MemCatMast, MemCatRevWise, MembershipRevMast
    ui=N core=Y
- MemFacilityEntry (MemFacilityEntry.frm): 'Member Used Facility Entry'
    tables: LocationFacility, LocationMast, MemCatFacility, MemFacilityBilling, MemFacilityMast (+2)
    ui=N core=Y
- memOutStationEntry (memOutStationEntry.frm): 'Out-Station Member Entry'
    tables: Can, MemBill, MemCatMast, MemCatRevWise, MemOutStation (+4)
    ui=N core=Y
- MemRenewalEntry (MemRenewalEntry.frm): 'Member Renewal'
    tables: MemCatMast, MemHistory, Subgroup
    ui=N core=Y
- MemSelectCategory (MemSelectCategory.frm): 'Select Member Category'
    tables: Depart, MemCatMast, MemSelectCategory
    ui=N core=Y
- MemTagadaLetter (MemTagadaLetter.frm): 'Payment Due Letter Entry'
    tables: City, Ledger, MEMCATMAST, MemCatMast, MemTagadaLetter (+4)
    ui=N core=Y
- OutLetMast (OutLetMast.frm): 'Outlet Master'
    tables: Depart, MenuHelp, OutletBarCodePartDetail, RevMast, SchemeMast (+8)
    ui=N core=Y
- pGIss (pGIss.frm): 'Goods Issue Entry'
    tables: Acgroup, Enviro, GodownMast, HallBook, Indent (+8)
    ui=N core=Y
- pMREntry (pMREntry.frm): 'Material Receive Entry'
    tables: City, Enviro, GIN, GodownMast, Godownmast (+10)
    ui=N core=Y
- POSBillReprint (POSBillReprint.frm): 'OutLet Bill Reprint'
    tables: Bill, City, DEPART, Depart, ENVIRO (+37)
    ui=N core=Y
- pPBill (pPBill.frm): 'Purchase Bill Entry'
    tables: City, DEPART, Depart, Enviro, GIN (+30)
    ui=N core=Y
- PrAttend1 (PrAttend1.frm): 'Attendence'
    tables: ATTENDENCE, Attend, DESIG, EMPLOYEE, Salary (+4)
    ui=N core=Y
- pReqSlip (pReqSlip.frm): 'Requistion Slip Entry'
    tables: Acgroup, DateLock, Depart, Enviro, GodownMast (+10)
    ui=N core=Y
- PrLoan (PrLoan.frm): 'Advance/Loan'
    tables: Depart, Desig, EMPLOYEE, Employee, Enviro (+9)
    ui=N core=Y
- resGroup (resGroup.frm): 'Group Reservation'
    tables: Booking, BussSource, CITY, City, GROUPPROF (+8)
    ui=N core=Y
- resRoomType (resRoomType.frm): 'Room Category Wise Reservation Look Up'
    tables: FAEnviro, GuestFolio, RateList, RoomBlockOut, RoomCat (+2)
    ui=N core=Y
- rFaRepView (rFaRepView.frm): 'Financ Report'
    tables: ACGROUP, AcGroup, Budget, City, FAENVIRO (+14)
    ui=N core=Y
- rFomRepView (rFomRepView.frm): 'FomRepView'
    tables: Arrival, BOM, BOOKING, Bill, BillDet (+119)
    ui=N core=Y
- rHallRepView (rHallRepView.frm): 'HallRepView'
    tables: BookingDetail, Depart, FAEnviro, FunctionType, HallBook (+24)
    ui=N core=Y
- rInventRepView (rInventRepView.frm): 'ReportForm'
    tables: City, Depart, Enviro, FAEnviro, Gin (+38)
    ui=N core=Y
- rMemberRepView (rMemberRepView.frm): 'Member Report'
    tables: City, Country, Depart, FAEnviro, Ledger (+19)
    ui=N core=Y
- rPOSRepView (rPOSRepView.frm): 'Pos Report'
    tables: AssignDelivery, BOM, DEPART, DeliveryBoy, Depart (+61)
    ui=N core=Y
- RrLookUpGuest (RrLookUpGuest.frm): 'New Reservation By Guest Reservation History'
    tables: GuestProf, RoomCat
    ui=N core=Y
- rrsAdvanceDepDialog (rrsAdvanceDepDialog.frm): 'Settlememt Entry'
    tables: AssignDelivery, DeliveryBoy, DepartPay, Employee, Enviro (+16)
    ui=N core=Y
- rsAdvanceDepDialog (rsAdvanceDepDialog.frm): 'Settlement'
    tables: DepartPay, Employee, Enviro, GuestFolio, MemCatMast (+14)
    ui=N core=Y
- RsAssignDelivery (RsAssignDelivery.frm): 'Member Category Wise Revenue'
    tables: AssignDelivery, DeliveryBoy, Depart, ENVIRO, Sale1 (+4)
    ui=N core=Y
- RsBookingEntry (RsBookingEntry.frm): 'Booking Entry'
    tables: ComboPackDetail, DEPART, Depart, Depart1, ENVIRO (+25)
    ui=N core=Y
- RsBookingEntryAdvance (RsBookingEntryAdvance.frm): 'Payment Entry'
    tables: PackingOrder
    ui=N core=Y
- RsKitchenMaterial (RsKitchenMaterial.frm): 'Excise Invoice Cum Gate Pass'
    tables: Depart, Enviro, GodownMast, ITEMRATE, ItemMast (+11)
    ui=N core=Y
- RsKOTEntry (RsKOTEntry.frm): 'KOT'
