VB6 <-> PYTHON PARITY MATRIX
==============================================================================
Generated: _qa/gen_parity_matrix.py (skill: vb6-python-parity)
VB6: *.frm captions + inline-SQL table evidence | Py: shell registry + core/ui scan | DB: live-table probe

STATUS SUMMARY
------------------------------------------------------------------------------
  DONE         158
  PARTIAL      145
  UI-ONLY      0
  BLOCKED-TBL  2
  MISSING      13
  TOTAL        318


==============================================================================
## PARTIAL
==============================================================================

| VB6 form            | Caption                    | Python UI | Core | Wired | Tables (live) |
| FrmReceivePayment   | Misc.Payment / Received En | no        | Y    | -     | Depart, ENVIRO, ExpSheet, PayCharge, P |
| FrmRevenueWiseBudget | Revenue Wise Budget        | no        | Y    | -     | BUDGETDETAILS, BudgetDetails, FixedCha |
| frmRevGroup         | Revenue Group              | no        | Y    | -     | Revmast, revmast                       |
| FrmRevMergeCharge   | Reverse Transfer Room      | no        | Y    | -     | GUESTSTAT, GuestFolio, GuestProf, PayC |
| FrmRoomCatMast      | Room Category Master       | no        | Y    | -     | RateList, RevMast, RoomCat, enviro, ra |
| FrmRoomFeatureMast  | Room Features Master       | no        | Y    | -     | RoomFeature                            |
| FrmRoomMast         | Room  Master               | no        | Y    | -     | Depart, ROOMFEATURE, ROOMMAST1, RateLi |
| FrmSMSEnviro        | Parameter Setting          | no        | Y    | -     | Depart, EmailSMSForward, JobSchedule,  |
| FrmSMSMultiType     | Common SMS                 | no        | Y    | -     | ACGROUP, City, DBSendSMS, Employee, Gu |
| FrmTaxStruMast      | Tax Structure Master       | no        | Y    | -     | RevMast, TaxStru, Taxstru              |
| FrmUnSettledBillsInfo | Unsettled Bill Details     | no        | Y    | -     | DEPART, Depart, PayCharge, RoomMast, V |
| FrmUserPaymentCollection | User Payment Receive Entry | no        | Y    | -     | ENVIRO, MenuHelp, REVMAST, UserCollect |
| frmWelcome          | <                          | YES       | Y    | -     | GuestProf                              |
| hAdvanceDepDialog   | Settlement                 | no        | Y    | -     | CreditCardHistory, Depart, DepartPay,  |
| hAdvanceDepDialogSecondry | Advance Deposite           | no        | Y    | -     | Employee, Enviro, GuestFolio, PAYCHARG |
| HallAcPostChrg      | A/C Posting                | no        | Y    | -     | Enviro                                 |
| HallAdvanceDepDialog | Advance Recived            | no        | Y    | -     | CreditCardHistory, Depart, DepartPay,  |
| HallBill            | Hall Bill Entry            | no        | Y    | -     | Booking, City, DEPART, Depart, Employe |
| HallBillEstimate    | Banquet Estimate Bill      | no        | Y    | -     | Booking, DEPART, Depart, Enviro, FAEnv |
| HallEstimate        | Hall Estimate Entry        | no        | Y    | -     | Booking, DEPART, Depart, Enviro, FAEnv |
| HallItemGroupMast   | Item Group Entry           | no        | Y    | -     | ItemGrp                                |
| HallMenuCatalog     | Menu Catalog               | no        | Y    | -     | CatalogMast, Depart, Enviro, GroupCata |
| HallMenuItemEntry   | Menu Item Entry            | no        | Y    | -     | Depart, Item, ItemCatMast, ItemGrp, It |
| HKHouseOpStk        | House Keeping Op. Stock En | no        | Y    | -     | DEPART, Depart, ItemGrp, ItemMast, LAS |
| HKIssRec            | Issue/Receive Entry        | no        | Y    | -     | Depart, GodownMast, ItemGrp, ItemMast, |
| HKRoomOpStk         | Room Op.Stock Entry        | no        | Y    | -     | Depart, ItemGrp, ItemMast, LASTVOU, Ro |
| HWIHistory          | Walk In by Room History    | no        | Y    | -     | Booking, GuestFolio, GuestProf, PlanMa |
| InHouseGuestFolio   | Inhouse Guest Folio        | no        | Y    | -     | Booking, City, EPABX_IN, EmailSMSForwa |
| kClStk              | Kitchen Closing Stock Entr | no        | Y    | -     | DateLock, Depart, GODOWNMAST, GodownMa |
| memAgeRevMast       | Member Category Wise Reven | no        | Y    | -     | Age, MemAgeRevWise, MemCatMast, Member |
| MemberEnviro        | Parameter Setting          | no        | Y    | -     | MemEnviro                              |
| MemberProposedMemInf | Propsed Member Information | no        | Y    | -     | MemCatMast, MemProposedMemInf, MemberF |
| MembershipMast      | Member Master              | no        | Y    | -     | AcGroup, AreaMast, CATEGORY, City, Cou |
| MemberShipRevenueMast | MemberShip Revenue Master  | no        | Y    | -     | MembershipRevMast, SubGroup, TaxStru   |
| MemberSMS           | Generate SMS.csv           | no        | Y    | -     | Enviro                                 |
| memCatChngCond      | Member Category Change (Co | no        | Y    | -     | Ledger, MemCatMast, SubGroup           |
| memCatChngEntry     | Out-Station Member Entry   | no        | Y    | -     | MemBill, MemCatChngDetail, MemCatMast, |
| memCategoryFacilities | Category wise Facility     | no        | Y    | -     | MemCatFacility, MemCatMast, MemFacilit |
| MemCatMast          | Member Category Master     | no        | Y    | -     | MEmCatMast, MemCatMast, SubGroup       |
| memCatRevMast       | Member Category Wise Reven | no        | Y    | -     | MemCatMast, MemCatRevWise, MembershipR |
| MemFacilityEntry    | Member Used Facility Entry | no        | Y    | -     | LocationFacility, LocationMast, MemCat |
| memOutStationEntry  | Out-Station Member Entry   | no        | Y    | -     | Can, MemBill, MemCatMast, MemCatRevWis |
| MemRenewalEntry     | Member Renewal             | no        | Y    | -     | MemCatMast, MemHistory, Subgroup       |
| MemSelectCategory   | Select Member Category     | no        | Y    | -     | Depart, MemCatMast, MemSelectCategory  |
| MemTagadaLetter     | Payment Due Letter Entry   | no        | Y    | -     | City, Ledger, MEMCATMAST, MemCatMast,  |
| OutLetMast          | Outlet Master              | no        | Y    | -     | Depart, MenuHelp, OutletBarCodePartDet |
| pGIss               | Goods Issue Entry          | no        | Y    | -     | Acgroup, Enviro, GodownMast, HallBook, |
| pMREntry            | Material Receive Entry     | no        | Y    | -     | City, Enviro, GIN, GodownMast, Godownm |
| POSBillReprint      | OutLet Bill Reprint        | no        | Y    | -     | Bill, City, DEPART, Depart, ENVIRO (+3 |
| pPBill              | Purchase Bill Entry        | no        | Y    | -     | City, DEPART, Depart, Enviro, GIN (+30 |
| PrAttend1           | Attendence                 | no        | Y    | -     | ATTENDENCE, Attend, DESIG, EMPLOYEE, S |
| pReqSlip            | Requistion Slip Entry      | no        | Y    | -     | Acgroup, DateLock, Depart, Enviro, God |
| PrLoan              | Advance/Loan               | no        | Y    | -     | Depart, Desig, EMPLOYEE, Employee, Env |
| resGroup            | Group Reservation          | no        | Y    | -     | Booking, BussSource, CITY, City, GROUP |
| resRoomType         | Room Category Wise Reserva | no        | Y    | -     | FAEnviro, GuestFolio, RateList, RoomBl |
| rFaRepView          | Financ Report              | no        | Y    | -     | ACGROUP, AcGroup, Budget, City, FAENVI |
| rFomRepView         | FomRepView                 | no        | Y    | -     | Arrival, BOM, BOOKING, Bill, BillDet ( |
| rHallRepView        | HallRepView                | no        | Y    | -     | BookingDetail, Depart, FAEnviro, Funct |
| rInventRepView      | ReportForm                 | no        | Y    | -     | City, Depart, Enviro, FAEnviro, Gin (+ |
| rMemberRepView      | Member Report              | no        | Y    | -     | City, Country, Depart, FAEnviro, Ledge |
| rPOSRepView         | Pos Report                 | no        | Y    | -     | AssignDelivery, BOM, DEPART, DeliveryB |
| RrLookUpGuest       | New Reservation By Guest R | no        | Y    | -     | GuestProf, RoomCat                     |
| rrsAdvanceDepDialog | Settlememt Entry           | no        | Y    | -     | AssignDelivery, DeliveryBoy, DepartPay |
| rsAdvanceDepDialog  | Settlement                 | no        | Y    | -     | DepartPay, Employee, Enviro, GuestFoli |
| RsAssignDelivery    | Member Category Wise Reven | no        | Y    | -     | AssignDelivery, DeliveryBoy, Depart, E |
| RsBookingEntry      | Booking Entry              | no        | Y    | -     | ComboPackDetail, DEPART, Depart, Depar |
| RsBookingEntryAdvance | Payment Entry              | no        | Y    | -     | PackingOrder                           |
| RsKitchenMaterial   | Excise Invoice Cum Gate Pa | no        | Y    | -     | Depart, Enviro, GodownMast, ITEMRATE,  |
| RsKOTEntry          | KOT                        | no        | Y    | -     | DEPART, Depart, Depart1, ENVIRO, Email |
| RsMenuItemEntry     | Menu Item Entry            | no        | Y    | -     | BOM, Depart, Item, ItemCatMast, ItemGr |
| RsPaymentReceice    | Payment Receive Entry (POS | no        | Y    | -     | Depart, Employee, Enviro, GuestFolio,  |
| RsPOSDisplayNew     | Table Status               | no        | Y    | -     | Depart, DispColor, Dispcolor, GuestPro |
| RSSaleBillDisplay   | Bill Look Up               | no        | Y    | -     | DEPART, Depart, ITEMMAST, ItemCatMast, |
| RsSpecItemEntry     | Special Item Entry         | no        | Y    | -     | Depart, Item, ItemCatMast, ItemGrp, It |
| RsStatusScreen      | POS Status Screen          | no        | Y    | -     | Depart, KOT, LocationMast, MemFacility |
| RsTbChange          | Table Transfer             | no        | Y    | -     | Depart, KOT, Kot, RoomMast, WAITER (+1 |
| RsTouchScreenBookingEntry | Booking Entry              | no        | Y    | -     | DEPART, Depart, ItemCatMast, ItemGrp,  |
| RsTouchScreenSteward | Steward                    | no        | Y    | -     | KOT, MemCatMast, SubGroup, Waiter      |
| SmartCardLostReIssue | Smart Lost/ReIssue Entry   | no        | Y    | -     | MemberFamily, SmartCardReIssueDetail,  |
| SmartCardMast       | Smart Card Master          | no        | Y    | -     | Enviro, ItemMast, Purch1, Purch2, Smar |
| SmartCardRecharge   | Smart Card Recharge Entry  | no        | Y    | -     | MemberFamily, SmartCardLedger, SmartCa |
